DOCKET NUMBER,NOV NUMBER,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,WARD,ISSUING DEPARTMENT,HEARING DATE,CASE DISPOSITION,IMPOSED FINE,ADMIN COSTS,VIOLATION CODE
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,105015
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,197019
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,106015
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,131026
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,67014
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,133016
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,136026
16BT04801A,16S0489660,11600 S PEORIA ST,11600,S,PEORIA,ST,34,Buildings,3/7/17,Default,"$7,500 ",$40 ,157047
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$40 ,15032
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$40 ,70024
16BT05692A,16L495339,5335 W CHICAGO AVE,5335,W,CHICAGO,AVE,37,Buildings,1/12/17,Default,"$7,500 ",$40 ,220096
16BT05974A,16SO497366,5515 S CORNELL AVE,5515,S,CORNELL,AVE,5,Buildings,1/11/17,Default,"$6,500 ",$40 ,197019
16BT05974A,16SO497366,5515 S CORNELL AVE,5515,S,CORNELL,AVE,5,Buildings,1/11/17,Default,"$6,500 ",$40 ,110105
16BT05974A,16SO497366,5515 S CORNELL AVE,5515,S,CORNELL,AVE,5,Buildings,1/11/17,Default,"$6,500 ",$40 ,196029
16BT05974A,16SO497366,5515 S CORNELL AVE,5515,S,CORNELL,AVE,5,Buildings,1/11/17,Default,"$6,500 ",$40 ,104015
16BT05974A,16SO497366,5515 S CORNELL AVE,5515,S,CORNELL,AVE,5,Buildings,1/11/17,Default,"$6,500 ",$40 ,198019
16BT05974A,16SO497366,5515 S CORNELL AVE,5515,S,CORNELL,AVE,5,Buildings,1/11/17,Default,"$6,500 ",$40 ,131026
16BT05974A,16SO497366,5515 S CORNELL AVE,5515,S,CORNELL,AVE,5,Buildings,1/11/17,Default,"$6,500 ",$40 ,194039
